age,workclass,fnlwgt,education-num,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,income
39,0,235485,12,4,3,4,1,0,0,42,0
46,5,102628,14,6,10,4,1,0,0,40,0
18,2,25828,7,4,5,4,1,0,0,16,0
66,1,54826,11,6,9,4,0,0,0,20,0
27,2,124953,9,4,7,4,1,0,1980,40,0
28,5,175325,9,2,10,4,1,0,0,40,0
51,2,96062,10,2,11,4,1,0,1977,40,1
27,2,428030,13,4,2,4,1,0,0,50,0
28,5,149624,13,2,9,4,1,0,0,40,1
27,2,253814,9,3,11,4,0,0,0,25,0
21,2,312956,9,4,2,2,1,0,0,40,0
34,2,483777,9,4,5,2,1,0,0,40,0
18,2,183930,9,4,7,4,1,0,0,12,0
33,2,37274,13,2,9,4,1,0,0,65,0
44,1,181344,10,2,3,2,1,0,0,38,1
43,2,114580,10,0,0,4,0,0,0,40,0
30,2,633742,10,4,2,2,1,0,0,45,0
40,2,286370,4,2,6,4,1,0,0,40,1
37,0,29054,10,2,0,4,1,0,0,42,1
34,2,304030,9,2,0,2,1,0,0,40,0
41,4,143129,13,0,3,4,0,0,0,40,0
31,2,99928,14,2,9,4,0,0,0,50,0
58,5,109567,16,2,9,4,1,0,0,1,1
38,2,155222,10,0,6,2,0,0,0,28,0
24,2,159567,10,2,6,4,1,0,0,40,0
41,1,523910,13,2,2,2,1,0,0,40,0
47,2,120939,10,2,12,4,1,0,0,45,0
41,0,130760,13,2,12,4,1,0,0,24,0
23,2,197387,3,2,13,4,1,0,0,40,0
36,2,99374,10,0,2,4,1,0,0,40,0
40,0,56795,14,4,3,4,0,14084,0,55,1
35,2,138992,14,2,9,4,1,7298,0,40,1
24,4,32921,9,4,11,4,1,0,0,40,0
26,2,397317,14,4,9,4,0,0,1876,40,0
51,2,259323,13,2,3,4,1,0,0,50,1
42,1,254817,10,4,9,4,0,0,1340,40,0
37,5,48211,9,0,0,4,0,0,0,35,0
18,2,140164,7,4,11,4,0,0,0,40,0
36,2,128757,13,2,7,2,1,7298,0,36,1
35,2,36270,9,0,2,4,1,0,0,60,0
58,3,210563,9,2,11,4,0,15024,0,35,1
17,2,65368,7,4,11,4,0,0,0,12,0
44,1,160943,9,2,13,2,1,0,0,40,0
37,2,208358,9,2,2,4,1,0,0,40,1
35,2,153790,10,4,11,0,0,0,0,40,0
60,2,85815,9,2,2,1,1,0,0,40,0
54,3,125417,4,2,6,4,1,0,0,40,1
37,2,635913,13,4,3,2,1,0,0,60,1
50,2,313321,12,0,11,4,0,0,0,40,0
38,2,182609,13,2,11,4,1,0,0,50,0
45,2,109434,13,2,9,4,1,0,0,55,0
25,2,255004,6,4,2,4,1,0,0,40,0
31,2,197860,10,2,5,4,1,0,0,40,0
90,2,51744,9,4,7,2,1,0,2206,40,0
54,2,176681,9,2,0,2,1,0,0,20,0
53,1,140359,1,4,6,4,0,0,0,35,0
18,2,243313,9,4,11,4,0,0,0,40,0
66,4,167687,9,2,4,4,1,1409,0,50,0
75,2,314209,11,6,0,4,0,0,0,20,0
65,2,176796,9,0,0,4,0,0,0,40,0
35,2,538583,7,5,13,2,1,3674,0,40,0
41,2,130408,9,0,11,2,0,0,0,38,0
25,2,159732,10,4,0,4,1,0,0,42,0
33,2,110978,10,0,2,3,0,0,0,40,0
28,2,76714,15,4,9,4,1,0,0,55,1
59,5,268700,9,2,7,4,1,0,0,40,0
40,5,170525,10,4,0,4,0,0,0,38,0
41,2,180138,13,2,3,4,1,0,0,50,1
38,1,115076,14,2,3,4,1,0,0,70,1
23,2,115458,9,4,13,4,1,0,0,40,0
40,2,347890,13,2,9,4,1,0,0,40,1
41,4,196001,9,2,7,4,0,0,0,20,0
24,5,273905,12,2,10,4,1,0,0,50,0
38,2,179488,10,0,2,4,1,0,1741,40,0
56,2,203580,9,2,0,4,1,0,0,35,0
58,2,236596,9,2,0,4,1,0,0,45,1
32,2,183916,9,4,7,4,0,0,0,34,0
40,2,207578,12,2,12,4,1,0,1977,60,1
45,2,153141,9,2,0,4,1,0,0,40,0
41,2,112763,15,2,9,4,0,0,0,40,1
42,2,390781,13,2,0,2,0,0,0,40,0
59,1,171328,6,6,7,2,0,0,0,30,0
19,1,27382,10,4,0,4,1,0,0,40,0
58,2,259014,10,4,13,4,1,0,0,20,0
42,4,303044,9,2,4,1,1,0,0,40,1
20,2,117789,9,4,7,4,0,0,0,40,0
32,2,172579,9,5,7,4,0,0,0,30,0
45,2,187666,11,6,3,4,0,0,0,45,0
50,2,204518,4,0,2,4,1,0,0,40,0
36,2,150042,13,0,9,4,0,0,0,40,0
45,2,98092,9,2,11,4,1,0,0,60,0
17,2,245918,7,4,7,4,1,0,0,12,0
59,2,146013,10,2,11,4,1,4064,0,40,0
26,2,378322,7,2,2,4,1,0,0,40,0
37,3,257295,10,2,3,1,1,0,0,75,1
64,2,21174,9,2,3,4,1,0,0,40,1
33,2,185480,13,4,9,4,0,0,0,45,0
33,2,222205,9,2,2,4,0,0,0,40,1
61,2,69867,9,2,3,4,1,0,0,40,1
17,2,191260,5,4,7,4,1,1055,0,24,0
50,4,30653,14,2,4,4,1,2407,0,98,0
27,1,209109,14,4,9,4,1,0,0,35,0
30,2,70377,9,0,9,4,0,0,0,40,0
43,2,477983,9,2,5,2,1,0,0,40,0
44,2,170924,10,2,2,4,1,7298,0,40,1
35,2,190174,10,4,3,4,0,0,0,40,0
25,2,193787,10,4,12,4,0,0,0,40,0
24,2,279472,10,2,6,4,0,7298,0,48,1
22,2,34918,13,4,9,4,0,0,0,15,0
42,1,97688,10,2,2,4,1,5178,0,40,1
34,2,175413,12,0,11,2,0,0,0,45,0
60,2,173960,13,0,9,4,0,0,0,42,0
21,2,205759,9,4,5,4,1,0,0,40,0
57,0,425161,14,2,11,4,1,15024,0,40,1
41,2,220531,15,2,9,4,1,0,0,60,1
50,2,176609,10,0,7,4,1,0,0,45,0
25,2,371987,13,4,3,4,0,0,0,40,0
50,2,193884,4,2,2,4,1,0,0,40,0
36,2,200352,13,2,9,4,1,0,0,45,0
31,2,127595,9,0,9,4,0,0,0,40,0
29,1,220419,13,4,10,4,1,0,0,56,0
21,2,231931,10,4,11,4,1,0,0,45,0
27,2,248402,13,4,12,2,0,0,0,40,0
65,2,111095,9,2,13,4,1,0,0,16,0
37,3,57424,13,0,11,4,0,0,0,60,0
24,2,278130,9,4,2,4,1,0,0,40,0
38,2,169469,9,0,11,4,1,0,0,80,0
48,2,146268,13,2,0,4,1,7688,0,40,1
21,2,153718,10,4,7,1,0,0,0,25,0
31,2,217460,9,2,13,4,1,0,0,45,1
55,2,238638,9,2,11,4,1,4386,0,40,1
24,2,303296,10,2,0,1,0,0,0,40,0
43,2,173321,9,0,0,4,0,0,0,40,0
26,2,193945,12,4,12,4,1,0,0,45,0
46,2,83082,12,4,9,4,0,0,0,33,0
35,2,193815,12,2,0,4,1,0,0,40,1
41,3,34987,10,2,4,4,1,0,0,54,1
26,2,59306,13,4,11,4,1,0,0,40,0
34,2,142897,14,2,3,1,1,7298,0,35,1
36,4,205607,13,0,9,2,0,0,0,40,1
22,2,199698,10,4,11,4,1,0,0,15,0
24,2,191954,10,4,6,4,1,0,0,40,0
77,4,138714,10,2,11,4,1,0,0,40,0
22,2,399087,3,2,6,4,0,0,0,40,0
29,2,423158,10,4,12,4,0,0,0,40,0
62,2,159841,9,6,7,4,0,0,0,24,0
39,4,174308,9,2,3,4,1,0,0,40,0
43,2,50356,10,2,2,4,1,0,1485,50,0
35,2,186110,9,0,13,4,1,0,0,45,0
29,2,200381,7,4,3,4,0,0,0,40,0
76,4,174309,14,2,2,4,1,0,0,10,0
63,4,78383,9,2,4,4,1,0,0,45,0
43,2,187728,10,2,9,4,0,0,1887,50,1
58,4,321171,9,2,5,4,1,0,0,40,0
66,2,127921,9,4,13,4,1,2050,0,55,0
41,2,206565,10,4,2,2,1,0,0,45,0
26,2,224563,13,4,0,4,1,0,0,40,0
47,2,178686,11,4,7,4,1,0,0,40,0
55,1,98545,6,2,0,4,1,0,0,40,0
53,2,242606,9,2,13,4,1,0,0,40,0
17,2,270942,3,4,7,4,1,0,0,48,0
30,2,94235,9,4,2,4,1,0,0,40,0
49,2,71195,14,4,9,4,1,0,0,60,0
19,2,104112,9,4,11,2,1,0,0,30,0
45,2,261192,9,2,7,2,1,0,0,40,0
26,2,94936,12,4,11,4,1,0,0,40,0
38,2,296478,11,2,2,4,1,7298,0,40,1
36,5,119272,9,2,10,4,1,7298,0,40,1
33,2,85043,9,4,4,4,1,0,0,20,0
22,5,293364,10,4,10,2,0,0,0,40,0
43,4,241895,13,4,11,4,1,0,0,42,0
56,2,101128,12,3,7,4,1,0,0,25,0
31,2,156464,13,4,9,4,1,0,0,25,0
33,2,117963,13,2,3,4,1,0,0,40,1
26,2,192262,9,2,7,4,1,0,0,40,0
33,2,111363,13,2,3,4,1,0,0,40,1
46,1,329752,7,2,13,4,1,0,0,30,0
38,0,95432,9,2,0,4,1,0,0,40,1
65,2,161400,7,6,7,3,1,0,0,40,0
40,2,96129,11,2,12,4,1,0,0,40,1
42,2,111949,9,2,0,4,0,0,0,35,0
26,4,117125,5,2,2,4,1,0,0,40,0
36,2,348022,6,2,7,4,0,0,0,24,0
62,2,270092,14,2,9,4,1,0,0,40,1
43,2,180609,13,2,13,4,1,0,0,45,0
43,2,174575,13,0,3,4,1,0,1564,45,1
22,2,410439,9,3,11,4,1,0,0,55,0
28,2,92262,9,2,2,4,1,0,0,40,0
56,4,183081,10,2,11,4,1,0,0,45,0
22,2,362589,12,4,11,4,0,0,0,15,0
57,2,212448,13,0,3,4,0,0,0,45,1
39,2,481060,9,0,11,4,0,0,0,40,0
26,0,185885,10,4,0,4,0,0,0,15,0
17,2,89821,7,4,7,4,1,0,0,10,0
40,5,184018,11,2,6,4,1,0,0,38,1
45,2,256649,9,2,6,2,1,0,0,40,0
44,2,160323,9,4,2,2,1,0,0,40,0
20,1,350845,10,4,0,4,0,0,0,10,0
33,2,267404,9,2,2,4,0,0,0,40,0
23,2,35633,10,4,11,4,1,0,0,40,0
46,4,80914,14,0,3,4,1,0,0,30,0
38,2,172927,9,2,11,4,1,0,0,50,0
54,2,174319,9,0,13,4,1,0,0,40,0
46,2,214955,3,0,2,4,0,0,2339,45,0
25,2,344991,10,2,2,4,1,0,0,40,0
46,2,108699,10,0,11,4,0,0,0,40,0
36,1,117312,10,2,13,4,0,0,0,40,0
23,2,396099,9,4,7,4,0,0,0,25,0
29,2,134152,9,5,6,4,1,0,0,40,0
44,2,162028,10,2,0,4,0,0,2415,6,1
19,2,25429,10,4,0,4,0,0,0,16,0
19,2,232392,9,4,7,4,0,0,0,40,0
35,2,220098,9,2,7,4,0,0,0,40,1
27,2,301302,13,4,2,4,1,0,0,50,0
46,4,277946,12,5,2,4,1,0,0,40,0
34,5,98101,13,2,3,4,1,7688,0,45,1
34,2,196164,9,4,7,4,0,0,0,35,0
44,2,115562,10,2,12,4,1,0,0,40,0
45,2,96975,10,0,5,4,0,0,0,40,0
25,2,86872,13,2,3,4,1,0,0,55,1
52,3,132178,13,2,3,4,1,0,0,50,1
20,2,416103,10,4,5,4,1,0,0,40,0
28,2,108574,10,4,7,4,0,0,0,40,0
50,5,288353,13,2,10,4,1,0,0,40,1
34,2,227689,11,0,12,4,0,0,0,64,0
28,2,166481,4,2,5,3,1,0,2179,40,0
41,2,445382,14,2,3,4,1,0,1977,65,1
28,2,110145,9,2,0,4,1,0,0,40,0
46,4,317253,9,2,2,4,1,0,0,25,0
32,2,364657,10,2,3,4,1,0,0,50,0
41,1,42346,10,0,7,2,0,0,0,24,0
24,2,241951,9,4,5,2,0,0,0,40,0
33,2,118500,10,0,3,4,0,0,0,40,0
46,2,188386,16,2,3,4,1,15024,0,60,1
31,5,1033222,10,2,6,4,1,0,0,40,0
35,2,92440,8,0,2,4,1,0,0,50,1
52,2,190762,2,2,6,4,1,0,0,40,0
30,2,426017,7,4,7,4,0,0,0,19,0
34,1,243867,7,5,6,2,1,0,0,40,0
34,5,240283,9,0,13,4,0,0,0,40,0
20,2,61777,10,2,11,4,1,0,0,30,0
17,2,175024,7,4,5,4,1,2176,0,18,0
32,5,92003,13,2,3,4,0,0,0,40,1
29,2,188401,9,0,4,4,1,0,0,40,0
33,2,228528,6,4,2,4,0,0,0,35,0
25,2,133373,9,2,13,4,1,0,0,60,0
36,0,255191,14,4,9,4,1,0,1408,40,0
23,2,204653,9,4,5,4,1,0,0,72,0
63,3,222289,9,2,3,4,1,0,0,40,1
47,1,287480,14,2,9,4,1,0,0,40,0
40,4,204116,13,3,9,4,0,2174,0,40,0
30,2,29662,12,2,7,4,0,0,0,25,1
27,2,116358,10,4,2,1,1,0,1980,40,0
33,2,208405,14,2,9,4,1,0,0,50,1
34,1,284843,9,4,4,2,1,594,0,60,0
34,1,117018,10,4,10,4,0,0,0,40,0
23,2,81281,10,2,0,4,1,0,0,40,0
42,1,340148,10,2,0,4,0,0,0,40,0
29,2,363425,13,4,9,4,1,0,0,40,0
45,2,45857,9,0,0,4,0,0,0,28,0
24,0,191073,9,4,1,4,1,0,0,40,0
44,2,116632,10,2,9,4,1,0,0,40,1
27,2,405855,5,4,2,4,1,0,0,40,0
20,2,298227,10,4,11,4,1,0,0,35,0
44,2,290521,9,6,3,2,0,0,0,40,0
51,2,56915,9,2,2,0,1,0,0,40,0
20,2,146538,9,2,6,4,1,0,0,40,0
19,2,206399,9,4,6,2,0,0,0,40,0
45,3,197332,10,2,2,4,1,0,0,55,1
60,2,245062,9,2,2,4,1,0,0,40,1
42,2,197583,12,2,3,2,1,0,0,40,1
44,4,234885,9,2,11,4,0,0,0,40,1
40,2,72887,11,2,6,1,1,0,0,40,1
30,2,180374,9,2,3,4,0,0,0,40,0
38,2,351299,10,2,13,2,1,0,0,50,0
23,2,54012,9,2,13,4,1,0,0,60,0
44,2,116632,12,4,4,4,1,0,0,40,0
54,1,288825,9,2,13,2,1,0,0,40,0
32,2,132601,13,2,9,4,1,0,0,50,0
50,2,193374,2,3,2,4,1,0,0,40,0
24,2,170070,13,4,12,4,0,0,0,20,0
37,2,126708,9,2,0,4,0,0,0,60,0
52,2,35598,9,0,13,4,1,0,0,40,0
38,2,33983,10,2,13,4,1,0,0,40,0
49,2,192776,14,2,3,4,1,0,1977,45,1
30,2,118551,13,2,12,4,0,0,0,16,1
60,2,201965,10,4,9,4,1,0,0,40,1
35,2,285020,9,4,2,4,1,0,0,40,0
30,2,303990,9,4,13,4,1,0,0,60,0
67,2,49401,11,0,7,4,0,0,0,24,0
46,2,279196,13,4,2,4,0,0,0,40,0
17,2,211870,5,4,7,4,1,0,0,6,0
22,2,281432,10,4,5,4,1,0,0,30,0
27,2,161155,6,4,7,4,1,0,0,40,0
23,2,197904,9,4,7,4,0,0,0,35,0
33,2,111746,12,2,2,4,1,0,0,45,0
43,4,170721,10,2,2,4,1,0,0,20,0
28,5,70100,13,4,9,4,1,0,0,20,0
41,2,193626,9,3,2,4,0,0,0,40,0
25,2,189775,10,3,0,2,0,0,0,20,0
59,1,286967,9,2,13,4,1,0,0,45,0
45,1,164427,13,0,9,4,0,0,0,40,0
38,2,91039,13,2,11,4,1,15024,0,60,1
40,2,347934,9,4,7,4,0,0,0,35,0
46,0,371373,9,0,0,4,1,0,0,40,0
35,2,32220,12,4,3,4,0,0,0,60,0
34,2,187251,9,0,9,4,0,0,0,25,0
33,2,178107,13,4,2,4,1,0,0,20,0
41,2,343121,9,0,0,4,0,0,0,36,0
20,2,262749,10,4,6,4,1,0,0,40,0
23,2,403107,3,4,7,4,1,0,0,40,0
26,2,64293,10,4,9,4,0,0,0,35,0
23,1,324960,9,4,4,4,1,0,0,40,0
62,1,114060,9,2,13,4,1,0,0,40,0
52,2,48925,10,2,0,4,1,0,0,40,0
58,2,180980,10,0,7,4,0,0,0,42,0
25,2,181054,13,4,11,4,0,0,0,40,0
24,2,388093,13,4,3,2,1,0,0,40,0
19,2,249609,10,4,10,4,1,0,0,8,0
43,2,112131,10,2,3,4,1,0,0,40,0
47,1,543162,9,5,0,2,0,0,0,40,0
39,2,91996,9,0,7,4,0,0,0,40,0
49,2,141944,11,3,5,4,1,0,1380,42,0
32,2,37070,11,4,2,4,1,0,0,45,0
34,2,337587,10,2,9,4,1,0,0,50,1
28,2,189346,9,0,2,4,1,0,0,45,0
25,2,267044,10,4,0,0,0,0,0,20,0
34,2,108116,13,2,9,4,1,0,0,50,1
38,3,99146,13,2,3,4,1,15024,0,80,1
50,2,196232,9,2,3,4,1,7688,0,50,1
24,1,248344,10,0,5,2,1,0,0,50,0
37,1,186035,10,2,12,4,1,0,0,45,1
44,2,177905,10,0,6,4,1,0,0,58,1
28,2,85812,10,2,11,4,0,0,0,40,0
42,2,221172,13,2,3,4,1,0,0,40,1
74,2,99183,10,0,0,4,0,0,0,9,0
38,4,190387,9,2,2,4,1,0,0,50,0
44,4,202692,14,2,9,4,1,0,0,40,0
44,2,109339,7,0,6,3,0,0,0,46,0
26,2,108658,9,4,6,4,1,0,0,40,0
36,2,197202,9,2,7,2,1,0,0,40,0
41,2,101739,12,2,3,4,0,0,0,50,1
67,2,231559,15,2,9,4,1,20051,0,48,1
39,1,207853,8,2,12,4,1,0,0,50,0
57,2,190942,2,6,8,2,0,0,0,30,0
29,2,102345,11,5,2,4,1,0,0,40,0
31,3,41493,13,4,4,4,0,0,0,45,0
44,2,210525,10,2,13,4,1,0,0,40,0
29,2,133937,16,4,9,4,1,0,0,40,0
30,2,237903,10,4,5,4,0,0,0,40,0
27,2,163862,9,4,13,4,1,0,0,40,0
27,2,201872,10,2,11,4,1,0,0,50,0
32,2,84179,9,4,5,4,0,0,0,45,0
58,2,51662,6,2,7,4,0,0,0,8,0
35,1,233327,10,2,10,4,1,0,0,40,0
21,2,259510,9,4,5,4,1,0,0,36,0
28,2,184831,10,4,2,4,1,0,0,40,0
46,4,245724,10,0,3,4,1,0,0,50,0
36,4,27053,9,5,7,4,0,0,0,40,0
72,2,205343,7,6,0,4,0,0,0,40,0
35,2,229328,9,2,6,2,0,0,0,40,0
33,0,319560,11,0,2,2,0,0,0,40,1
69,2,136218,7,4,6,4,0,0,0,40,0
35,2,54576,9,2,6,4,1,0,0,40,0
31,2,323069,9,5,0,4,0,0,0,20,0
34,2,148291,9,2,12,4,0,0,0,32,0
30,2,152453,7,2,7,4,1,0,0,40,0
28,2,114053,13,4,13,4,1,0,0,55,0
54,2,212960,13,2,11,4,1,0,0,35,1
47,2,264052,10,2,9,4,1,0,0,50,1
24,2,82804,9,4,5,2,0,0,0,40,0
52,4,334273,13,2,9,4,1,0,0,60,1
20,2,27337,9,4,5,0,1,0,0,48,0
43,3,188436,14,2,3,4,1,5013,0,45,0
45,2,433665,4,5,7,4,0,0,0,40,0
29,4,110663,9,5,2,4,1,0,0,35,0
47,2,87490,14,0,3,4,1,0,0,42,0
24,2,354351,9,4,2,4,1,0,0,40,0
51,2,95469,9,2,9,4,1,0,0,40,0
17,2,242718,7,4,11,4,1,0,0,12,0
37,2,22463,11,2,2,4,1,0,1977,40,1
27,2,158156,16,4,9,4,0,0,0,70,0
29,2,350162,13,2,3,4,1,0,0,40,1
36,4,28738,12,0,11,4,0,0,0,35,0
58,1,283635,13,4,9,4,0,0,0,40,0
26,4,86646,10,2,2,4,1,0,0,45,0
57,2,69884,9,2,11,4,1,0,0,40,1
59,2,199713,9,2,2,4,1,0,0,40,0
27,2,181659,9,2,6,4,1,0,0,40,0
31,4,340939,13,4,12,4,1,0,0,40,0
21,2,197747,10,4,11,4,0,0,0,24,0
29,2,34292,10,4,0,4,1,0,0,60,0
18,2,156764,7,4,7,4,1,0,0,40,0
52,2,25826,6,2,2,4,1,0,1887,47,1
57,3,103948,13,0,9,4,1,0,0,80,0
60,2,39352,4,4,13,4,1,0,0,48,1
