Date,Index Value,Standard Error
2005-06-30,72.39,3.86
2005-07-31,73.97,3.63
2005-08-31,74.68,3.46
2005-09-30,73.97,3.63
2005-10-31,72.79,3.82
2005-11-30,76.09,3.63
2005-12-31,79.07,3.58
2006-01-31,79.17,3.71
2006-02-28,81.9,3.76
2006-03-31,85.19,3.42
2006-04-30,88.76,3.35
2006-05-31,87.69,4.07
2006-06-30,87.67,3.85
2006-07-31,84.78,3.74
2006-08-31,79.63,3.88
2006-09-30,75.45,4.1
2006-10-31,77.12,3.87
2006-11-30,77.14,3.55
2006-12-31,75.76,3.73
2007-01-31,76.92,3.9
2007-02-28,80.21,4.07
2007-03-31,82.42,3.99
2007-04-30,79.35,4.22
2007-05-31,75.0,4.51
2007-06-30,71.97,3.91
2007-07-31,72.68,3.29
2007-08-31,73.97,2.82
2007-09-30,73.26,2.68
2007-10-31,74.33,2.39
2007-11-30,73.9,2.38
2007-12-31,75.77,2.27
2008-01-31,76.23,2.16
2008-02-29,75.07,2.28
2008-03-31,76.32,2.24
2008-04-30,76.31,2.36
2008-05-31,77.84,2.24
2008-06-30,77.04,2.31
2008-07-31,76.6,2.52
2008-08-31,78.86,2.37
2008-09-30,77.74,2.51
2008-10-31,78.41,2.32
2008-11-30,79.65,2.19
2008-12-31,80.65,2.24
2009-01-31,81.46,2.24
2009-02-28,80.85,2.34
2009-03-31,82.29,2.32
2009-04-30,82.81,2.72
2009-05-31,81.43,3.29
2009-06-30,79.89,2.92
2009-07-31,80.11,2.93
2009-08-31,75.14,3.25
2009-09-30,75.11,2.86
2009-10-31,74.23,2.71
2009-11-30,73.16,2.69
2009-12-31,70.23,3.12
2010-01-31,64.65,3.4
2010-02-28,66.67,3.33
2010-03-31,65.7,3.62
2010-04-30,62.11,3.82
2010-05-31,60.74,4.2
2010-06-30,59.38,4.34
2010-07-31,63.49,4.29
2010-08-31,69.66,3.82
2010-09-30,66.39,4.33
2010-10-31,72.25,3.4
2010-11-30,72.25,3.1
2010-12-31,74.74,3.12
2011-01-31,75.29,3.27
2011-02-28,73.84,2.85
2011-03-31,73.54,2.45
2011-04-30,73.04,2.59
2011-05-31,73.21,2.72
2011-06-30,72.22,2.56
2011-07-31,73.05,2.43
2011-08-31,74.82,2.62
2011-09-30,75.66,2.85
2011-10-31,79.09,2.74
2011-11-30,80.09,2.75
2011-12-31,82.7,2.46
2012-01-31,82.73,2.4
2012-02-29,80.88,2.48
2012-03-31,81.09,2.54
2012-04-30,81.41,2.5
2012-05-31,81.53,2.29
2012-06-30,80.08,2.55
2012-07-31,78.86,2.6
2012-08-31,78.32,2.74
2012-09-30,77.98,2.81
2012-10-31,72.9,3.04
2012-11-30,71.58,3.27
2012-12-31,72.16,3.22
2013-01-31,70.74,3.32
2013-02-28,66.48,3.53
2013-03-31,65.75,3.53
2013-04-30,66.45,3.79
2013-05-31,64.71,3.67
2013-06-30,62.75,3.91
2013-07-31,66.47,3.59
2013-08-31,69.66,3.45
2013-09-30,67.98,3.5
2013-10-31,69.7,3.27
2013-11-30,68.02,3.32
2013-12-31,68.47,3.26
2014-01-31,64.13,3.54
2014-02-28,63.29,3.83
2014-03-31,67.03,3.48
2014-04-30,66.49,3.39
2014-05-31,66.12,3.5
2014-06-30,65.08,3.47
2014-07-31,65.96,3.46
2014-08-31,66.2,3.22
2014-09-30,65.05,3.5
2014-10-31,63.27,3.98
2014-11-30,62.67,3.95
2014-12-31,63.35,3.8
2015-01-31,63.77,4.09
2015-02-28,61.48,4.19
2015-03-31,58.14,3.76
2015-04-30,57.47,3.75
2015-05-31,59.59,3.53
2015-06-30,56.91,3.68
2015-07-31,56.34,3.4
2015-08-31,57.0,3.5
2015-09-30,58.52,3.71
2015-10-31,59.66,3.7
2015-11-30,61.07,3.99
2015-12-31,64.39,4.17
2016-01-31,62.42,3.97
2016-02-29,64.42,3.75
2016-03-31,64.33,3.82
2016-04-30,61.49,3.69
2016-05-31,57.14,3.67
2016-06-30,56.22,3.5
2016-07-31,56.08,4.08
2016-08-31,50.74,4.29
2016-09-30,46.97,4.34
2016-10-31,50.0,4.39
2016-11-30,50.5,4.97
2016-12-31,45.05,5.22
2017-01-31,46.62,4.33
2017-02-28,49.03,4.02
2017-03-31,48.43,3.96
2017-04-30,48.72,4.0
2017-05-31,47.69,3.58
2017-06-30,47.66,3.41
2017-07-31,48.11,3.67
2017-08-31,45.52,4.14
2017-09-30,50.0,4.26
2017-10-31,47.11,4.54
